equipo;modelo;serialNumber;codigoEquipo;;;;
LiveU;LU600;6h1912-02835;LiveU 1;;;;
LiveU;LU600;6h1912-02718;LiveU 2;;;;
LiveU;LU600;601836-65041;LiveU 3;;;;
LiveU;LU600;601836-65039;LiveU 4;;;;
LiveU;LU600;601836-65052;LiveU 5;;;;
LiveU;LU600;601836-65022;LiveU 6;;;;
LiveU;LU600;6h1912-02808;LiveU 7;;;;
LiveU;LU600;6h1912-02827;LiveU 8;;;;
LiveU;LU600;6J2105-21398;LiveU 9;;;;
LiveU;LU600;6J2125-25521;LiveU 10;;;;
LiveU;LU600;6J2105-21412;LiveU 11;;;;
LiveU;LU600;6J2105-21381;LiveU 12;;;;
LiveU;LU600;6J2125-25475;LiveU 13;;;;
LiveU;LU600;6J2125-25507;LiveU 14;;;;
LiveU;LU600;6J2105-21420;LiveU 15;;;;
LiveU;LU600;6J2105-21576;LiveU 16;;;;
Teradek;Bond Pro;5800474;Tera 1;;;;
Teradek;Bond Pro;5800466;Tera 3;;;;
Teradek;Bond Pro;5800472;Tera 4;;;;
Teradek;Bond Pro;5800471;Tera 5;;;;
Teradek;Bond Pro;5800448;Tera 6;;;;
Teradek;Bond Pro;5800469;Tera 7;;;;
Teradek;Bond Pro;5800483;Tera 8;;;;
Teradek;Bond Pro;5800470;Tera 9;;;;
Teradek;Bond Pro;5800468;Tera 10;;;;
Teradek;Bond Pro;5800475;Tera C1;;;;
Teradek;Bond Pro;5800482;Tera C2;;;;
Teradek;Bond Pro;5800467;Tera C3;;;;
Teradek;Bond Pro;5800484;Tera C4;;;;
Teradek;Bond II;11800713;Tera II;;;;
Dejero;;5200152;Dejero 1;;;;
Dejero;;5200760;Dejero 2;;;;
Dejero;;5201420;DejAlquilada 1;;;;
Dejero;;5200441;DejAlquilada 2;;;;
Dejero;;5101239;DejAlquilada 3;;;;
Dejero;;5101054;DejAlquilada 4;;;;
Dejero;;5100765;DejAlquilada 5;;;;
Dejero;;5101058;DejAlquilada 6;;;;
Dejero;;5100091;DejAlquilada 7;;;;
Dejero;;5201547;DejAlquilada 8;;;;
Dejero;;5201637;DejAlquilada 9;;;;
Dejero;;90490;DejAlquilada 10;;;;
Dejero;;90516;DejAlquilada 11;;;;
Dejero;;;DejAlquilada 12;;;;
Dejero;;;DejAlquilada 13;;;;
